Number of threads, Number of insertions, Number of reads, Block Size, Size unit, Memory consumption, Total number of requests, Time elapsed, Requests per second
3, 21, 21, 32, MB, 2016MB, 126, 9.83474, 12
3, 10, 10, 64, MB, 1920MB, 60, 9.51063, 6
3, 5, 5, 128, MB, 1920MB, 30, 9.14839, 3
3, 2, 2, 256, MB, 1536MB, 12, 7.19134, 1
3, 1, 1, 512, MB, 1536MB, 6, 6.87695, 0
4, 1024, 1024, 1, KB, 4MB, 8192, 0.675106, 12134
4, 1024, 1024, 2, KB, 8MB, 8192, 0.647739, 12647
4, 1024, 1024, 4, KB, 16MB, 8192, 0.662575, 12363
4, 1024, 1024, 8, KB, 32MB, 8192, 0.800322, 10235
4, 1024, 1024, 16, KB, 64MB, 8192, 1.01679, 8056
4, 1024, 1024, 32, KB, 128MB, 8192, 1.39797, 5859
4, 1024, 1024, 64, KB, 256MB, 8192, 1.76915, 4630
4, 1024, 1024, 128, KB, 512MB, 8192, 2.28027, 3592
4, 1024, 1024, 256, KB, 1024MB, 8192, 2.77928, 2947
4, 1024, 1024, 512, KB, 2048MB, 8192, 7.42232, 1103
4, 1024, 1024, 1024, KB, 4096MB, 8192, 15.7818, 519
4, 512, 512, 1, MB, 2048MB, 4096, 8.45785, 484
4, 256, 256, 2, MB, 2048MB, 2048, 9.04523, 226
4, 128, 128, 4, MB, 2048MB, 1024, 9.25315, 110
4, 64, 64, 8, MB, 2048MB, 512, 8.49992, 60
4, 32, 32, 16, MB, 2048MB, 256, 8.88568, 28
4, 16, 16, 32, MB, 2048MB, 128, 10.0566, 12
4, 8, 8, 64, MB, 2048MB, 64, 9.90078, 6
4, 4, 4, 128, MB, 2048MB, 32, 9.91792, 3
4, 2, 2, 256, MB, 2048MB, 16, 9.45899, 1
4, 1, 1, 512, MB, 2048MB, 8, 9.12914, 0
2, 8, 8, 1024, MB, 16384MB, ERR syntax error

