Number of threads, Number of insertions, Number of reads, Block Size, Size unit, Memory consumption, Total number of requests, Time elapsed, Requests per second
3, 341, 341, 2, MB, 2046MB, 2046, 6.44047, 317
3, 170, 170, 4, MB, 2040MB, 1020, 6.82432, 149
3, 42, 42, 16, MB, 2016MB, 252, 7.7443, 32
3, 21, 21, 32, MB, 2016MB, 126, 8.20833, 15
3, 10, 10, 64, MB, 1920MB, 60, 7.66044, 7
3, 5, 5, 128, MB, 1920MB, 30, 7.41471, 4
3, 2, 2, 256, MB, 1536MB, 12, 6.00077, 1
3, 1, 1, 512, MB, 1536MB, 6, 5.79777, 1
4, 1024, 1024, 1, KB, 4MB, 8192, 0.353535, 23171
4, 1024, 1024, 2, KB, 8MB, 8192, 0.350211, 23391
4, 1024, 1024, 4, KB, 16MB, 8192, 0.370264, 22124
4, 1024, 1024, 8, KB, 32MB, 8192, 0.410056, 19977
4, 1024, 1024, 16, KB, 64MB, 8192, 0.406055, 20174
4, 1024, 1024, 32, KB, 128MB, 8192, 0.473175, 17312
4, 1024, 1024, 64, KB, 256MB, 8192, 0.583151, 14047
4, 1024, 1024, 128, KB, 512MB, 8192, 0.97672, 8387
4, 1024, 1024, 256, KB, 1024MB, 8192, 2.22171, 3687
4, 1024, 1024, 512, KB, 2048MB, 8192, 5.16475, 1586
4, 1024, 1024, 1024, KB, 4096MB, 8192, 11.8485, 691
4, 512, 512, 1, MB, 2048MB, 4096, 5.76463, 710
4, 256, 256, 2, MB, 2048MB, 2048, 6.42379, 318
4, 128, 128, 4, MB, 2048MB, 1024, 6.91463, 148
4, 32, 32, 16, MB, 2048MB, 256, 7.92109, 32
4, 16, 16, 32, MB, 2048MB, 128, 7.99106, 16
4, 8, 8, 64, MB, 2048MB, 64, 8.11407, 7
4, 4, 4, 128, MB, 2048MB, 32, 8.10302, 3
4, 2, 2, 256, MB, 2048MB, 16, 8.01723, 1
4, 1, 1, 512, MB, 2048MB, 8, 7.83571, 1
2, 8, 8, 1024, MB, 16384MB, ERR syntax error

2, 4, 4, 2048, MB, 16384MB, ERR syntax error

2, 2, 2, 4096, MB, 16384MB, ERR syntax error

